iteration,sign_ns,verify_ns,total_ns
1075,197917,31485,229416
1076,155289,31171,186475
1077,154844,31492,186351
1078,187885,31403,219302
1079,145782,31725,177522
1080,179738,31664,211417
1081,138249,31624,169887
1082,154862,31187,186062
1083,146530,31178,177722
1084,147557,31660,179232
1085,151368,31413,182794
1086,148743,31653,180411
1087,137208,30924,168146
1088,140245,31133,171393
1089,208351,31335,239700
1090,139614,31594,171222
1091,150966,31353,182335
1092,138903,31234,170153
1093,150194,31229,181437
1094,152765,31299,184079
1095,178588,31406,210007
1096,149274,30980,180268
1097,138190,31409,169614
1098,140632,31120,171767
1099,181804,31508,213327
1100,143758,31709,175481
1101,190095,31473,221579
1102,137296,31369,168676
1103,136765,31116,167896
1104,151469,31136,182617
1105,151501,31587,183103
1106,150349,31151,181514
1107,178379,31327,209721
1108,149754,31280,181047
1109,149775,31461,181251
1110,153758,31601,185372
1111,138487,31205,169706
1112,176871,31547,208433
1113,138617,31038,169669
1114,151171,31470,182656
1115,142643,31485,174141
1116,145831,31705,177550
1117,155920,31461,187395
1118,149188,31320,180524
1119,138584,31136,169735
1120,136874,32743,169632
1121,214873,31439,246326
1122,140811,30881,171706
1123,150251,31176,181442
1124,138031,31195,169241
1125,149142,31549,180705
1126,153419,31550,184983
1127,178698,31178,209890
1128,152156,31378,183550
1129,138593,31752,170359
1130,140202,31225,171442
1131,183297,31280,214592
1132,139434,31379,170826
1133,188889,30836,219740
1134,137816,31139,168970
1135,136898,31418,168337
1136,148375,32525,180914
1137,152423,30862,183297
1138,150028,31218,181260
1139,176906,31199,208119
1140,149275,31478,180769
1141,148329,31067,179410
1142,155475,31606,187094
1143,140939,31262,172215
1144,179663,31557,211234
1145,138286,31466,169767
1146,149665,31529,181209
1147,143048,30749,173812
1148,144945,31523,176483
1149,152999,31564,184576
1150,152192,31020,183226
1151,141904,31261,173181
1152,138551,31722,170290
1153,232097,31730,263840
1154,144534,32117,176667
1155,154884,31493,186392
1156,138976,31285,170274
1157,149310,31407,180732
1158,153002,31178,184194
1159,181000,31753,212769
1160,150937,31184,182136
1161,138661,31276,169949
1162,143106,31303,174422
1163,180844,31403,212261
1164,141048,31331,172392
1165,209726,30927,240667
1166,141028,31569,172612
1167,137626,31264,168905
1168,148492,31405,179911
1169,156689,31305,188008
1170,152626,31411,184051
1171,142131,31591,173736
1172,150827,31009,181851
1173,147075,31240,178330
1174,152664,31271,183949
1175,140604,31561,172178
1176,177328,31513,208856
1177,137092,31127,168234
1178,151288,31149,182452
1179,135608,30942,166565
1180,143673,31249,174937
1181,150624,31476,182114
1182,150377,31171,181561
1183,140164,31447,171625
1184,136568,31396,167978
1185,220339,31415,251767
1186,139916,31132,171061
1187,149893,31598,181505
1188,139524,31585,171124
1189,148567,31050,179632
1190,148721,31282,180017
1191,181607,30940,212562
1192,150700,31301,182015
1193,137770,31342,169126
1194,140662,30793,171470
1195,176053,31179,207245
1196,140127,31640,171782
1197,190496,31618,222129
1198,139019,31299,170333
1199,140399,31277,171689
1200,148704,31371,180090
1201,148549,32220,180783
1202,152979,31354,184347
1203,179373,31235,210624
1204,148869,31744,180628
1205,147650,31006,178670
1206,149884,31149,181047
1207,140204,31504,171721
1208,179651,31645,211309
1209,137180,31162,168356
1210,150004,31367,181387
1211,141689,31381,173083
1212,142520,30964,173498
1213,153089,31642,184745
1214,150155,31550,181719
1215,137940,30901,168855
1216,139913,31327,171254
1217,208178,31318,239510
1218,164509,31625,196149
1219,151489,31412,182914
1220,140424,31651,172095
1221,149037,31174,180223
1222,150459,31378,181851
1223,182068,31285,213368
1224,150248,31218,181479
1225,137611,31512,169138
1226,139996,31924,171932
1227,179593,31430,211037
1228,138948,33291,172254
1229,191109,31393,222515
1230,139067,31434,170516
1231,138358,31712,170084
1232,151854,31359,183230
1233,148708,31376,180099
1234,153691,31508,185215
1235,180346,31175,211534
1236,149820,30991,180826
1237,150192,31099,181305
1238,147641,31280,178934
1239,140519,31370,171904
1240,177119,31286,208419
